247,215,245
246,222,243
246,221,242
246,219,241
246,219,241
246,221,241
246,221,242
246,223,241
246,221,242
237,223,241
246,223,245
246,221,240
247,221,240
246,220,240
246,222,240
246,221,240
246,223,246
246,222,241
246,220,240
247,219,240
247,218,240
246,221,240
237,220,240
237,225,245
246,220,241
246,220,241
246,220,242
243,208,241
240,233,235
235,233,235
235,232,237
241,234,234
240,234,233
240,232,241
240,232,240
233,232,241
241,228,241
240,228,241
241,230,240
243,229,240
231,230,239
233,230,237
242,230,241
242,230,241
242,230,241
242,230,241
242,229,237
231,229,235
242,228,237
242,230,239
242,229,239
242,229,239
242,234,235
224,235,254
228,234,254
242,234,255
243,235,254
243,235,254
243,235,253
239,235,254
234,233,253
234,233,253
243,234,253
243,234,254
243,234,254
240,235,254
241,237,254
239,235,255
232,235,255
235,235,254
241,236,254
241,236,254
243,236,254
241,236,254
233,237,255
234,236,254
242,236,253
243,236,254
243,236,254
242,236,254
234,227,230
251,228,233
250,233,244
248,227,241
251,234,221
250,226,225
250,231,226
250,218,232
251,222,226
249,231,221
249,231,222
249,231,222
249,232,219
249,231,219
251,231,220
250,218,231
250,231,226
250,231,227
250,231,230
249,232,215
249,232,220
250,231,231
249,232,218
249,232,218
249,232,219
249,232,218
249,230,226
234,235,233
240,234,235
237,234,240
238,235,240
237,234,240
239,234,240
239,235,240
237,234,237
239,234,237
240,235,233
239,236,232
235,236,237
235,236,236
238,234,237
237,234,240
238,235,236
241,235,233
241,235,235
238,235,238
238,235,239
239,234,238
239,235,232
240,235,231
238,235,232
235,235,238
235,235,239
235,235,239
235,235,240
